Year,Volume
1968,5.5753
1969,5.9484
1970,6.3156
1971,6.6622
1972,7.0335
1973,7.5432
1974,8.2116
1975,8.802
1976,9.2815
1977,9.7912
1978,10.2295
1979,10.4885
1980,10.7598
1981,10.9073
1982,11.0021
1983,11.045
1984,10.9611
1985,10.6948
1986,11.0157
1987,11.1527
1988,11.0949
1989,10.8178
1990,10.0997
1991,9.0207
1992,7.7543
1993,6.9109
1994,6.1841
1995,6.0337
1996,5.8619
1997,5.9558
1998,5.886
1999,5.906
2000,6.2462
2001,6.7274
2002,7.4021
2003,8.1222
2004,8.8031
2005,9.0454
2006,9.2424
2007,9.437
2008,9.3564
2009,9.4932
2010,9.6941
2011,9.7874
2012,9.9526
2013,10.0466
2014,10.0868
2015,10.1111
2016,10.2922
2017,10.2072
2018,10.3832
2019,10.4795
2020,9.4598
2021,9.6194
2022,9.756
